word,idf,doc_num,index,保险,银行债券,基金,外汇,期货,科技,股票,黄金,total_freq
宣传,5.907811562790059,261,69,173,35,48,8,51,86,70,4,475
分层,8.89132344000149,33,70,11,9,14,0,1,2,18,0,55
建设,3.7508422164516593,1164,71,398,303,197,26,346,139,1022,9,2440
耐心,6.9133497463314875,130,72,8,1,28,23,10,12,32,49,163
覆盖,4.853568518006071,542,73,158,84,71,15,76,110,197,10,721
工具,4.249217032176724,824,74,64,305,178,155,268,77,268,101,1416
履行,5.2422306018606175,414,75,71,58,60,14,43,47,292,9,594
事宜,5.692543575886991,303,76,49,30,29,19,13,26,193,9,368
证券公司,5.796166206961149,282,77,36,52,103,0,50,6,387,1,635
官网,5.281081530831976,403,78,119,49,46,32,28,79,187,2,542
微信,5.58257073386186,327,79,81,92,38,5,26,446,192,7,887
精准,5.683052126909694,305,80,109,58,55,8,89,44,115,3,481
保护,4.609288072237639,642,81,94,73,99,65,137,145,438,62,1113
比例,3.200161535448408,1705,82,684,323,748,112,191,134,1210,76,3478
精度,11.12836263730234,7,83,2,0,3,0,0,3,1,0,9
达,2.9413641225010845,2040,84,427,227,316,205,179,235,1486,186,3261
日前,4.3376650591983426,775,85,104,93,88,48,74,113,328,30,878
研究,2.9771648439289313,1990,86,295,265,587,276,333,238,1020,261,3275
选取,7.848254718109604,68,87,7,8,30,1,5,4,27,1,83
较大,3.207797104796744,1696,88,316,265,404,148,371,54,576,204,2338
近期,2.4630267201171625,2842,89,235,338,476,655,578,136,1071,948,4437
营业部,7.263292217388447,102,90,24,11,14,0,46,0,196,0,291
参与,3.3897877902744757,1495,91,464,234,345,71,387,169,726,278,2674
固定,4.924490303936689,516,92,176,113,255,60,36,35,118,30,823
号,4.41608130651673,734,93,177,62,328,47,184,185,502,15,1500
分布,6.201007939134104,213,94,33,22,55,5,65,15,91,3,289
科学性,10.350755058638786,12,95,2,1,3,0,2,1,4,0,13
总体,3.984432844392971,990,96,192,115,128,190,307,31,300,92,1355
库,7.128362637302338,112,97,9,12,35,32,75,5,22,20,210
现场,5.627378529220536,317,98,107,34,23,10,31,81,210,3,499
阶段,3.798726447279713,1126,99,232,102,268,93,205,99,524,160,1683
状况,4.317332057101336,786,100,115,78,63,216,118,33,222,156,1001
开展调查,10.235277841218851,13,101,1,2,2,1,2,8,1,0,17
良好基础,9.543400136581182,21,102,10,1,2,0,4,0,5,2,24
传递,6.745893000479926,146,103,7,23,24,28,7,6,51,22,168
诉求,6.765792557917631,144,104,17,17,28,11,27,15,80,2,197
规模,2.4932923660283355,2783,105,1108,1256,2704,296,384,307,1558,176,7789
评价,5.569395345114127,330,106,91,29,114,11,55,67,158,11,536
摸准,12.350755058638786,3,107,1,2,1,0,0,0,0,0,4
成,4.664254531455568,618,108,138,46,99,53,61,86,247,45,775
PPS,11.935717559359944,4,109,0,0,1,0,0,2,7,0,10
抽样,11.935717559359944,4,110,0,0,6,0,1,1,0,1,9
代表性,7.249217032176725,103,111,5,5,31,2,33,8,27,4,115
重点,3.5231477125547332,1363,112,276,246,254,163,235,101,629,156,2060
增强,3.9858908486008318,989,113,130,131,183,110,161,35,413,114,1277
责任,4.743424744889176,585,114,427,93,142,14,49,134,286,13,1158
充分发挥,5.981521248973068,248,115,52,21,39,2,36,8,135,1,294
准确率,10.028826963751424,15,116,2,0,2,0,3,8,1,0,16
合法权益,6.053074509998101,236,117,49,11,26,5,35,30,153,2,311
准确,6.167533234583017,218,118,34,42,27,10,31,21,80,11,256
渠道,3.839002404871407,1095,119,753,241,479,43,76,230,455,15,2292
新版,8.806434542414976,35,120,11,7,8,4,1,7,9,3,50
组织,4.519975791069852,683,121,188,84,96,30,125,181,379,23,1106
科学决策,12.935717559359944,2,122,2,0,1,0,0,0,0,0,3
招募,7.935717559359943,64,123,12,6,50,0,1,15,11,0,95
一步,4.569395345114127,660,124,124,85,53,69,105,53,233,71,793
特征,5.291861369585218,400,125,78,53,161,22,29,15,141,20,519
摸清,9.935717559359944,16,126,6,11,2,0,1,0,4,0,24
调查,3.873671421639452,1069,127,112,117,68,343,57,212,532,952,2393
基金,2.4338803744576456,2900,128,998,917,25772,482,415,164,2325,720,31793
各类,4.666590880210525,617,129,114,112,187,12,72,33,307,6,843
找准,10.350755058638786,12,130,3,1,3,1,1,1,2,0,12
人士,2.7372725179075803,2350,131,424,661,718,437,286,329,1322,335,4512
提供,2.2927633358796107,3198,132,925,420,493,345,443,659,1669,518,5472
方法,5.439862532472771,361,133,50,38,133,37,78,37,107,33,513
投资者,1.812242761115802,4462,134,326,735,2666,1347,945,132,3910,2382,12443
做出,4.41215560330293,736,135,63,47,91,200,70,114,216,116,917
信心,3.774585676375636,1145,136,39,49,120,375,110,43,562,385,1683
实事求是,10.76579255791763,9,137,0,4,5,0,0,1,1,0,11
海报,10.128362637302338,14,138,0,1,8,0,0,3,9,0,21
工作,3.067666705614785,1869,139,642,519,371,108,505,315,1562,59,4081
家入样,13.935717559359944,1,140,0,0,3,0,0,0,0,0,3
区域,3.9584376358600264,1008,141,92,83,106,214,295,96,391,403,1680
热点问题,9.028826963751424,30,142,6,1,5,0,5,1,14,0,32
监管,2.9441957132842473,2036,143,1351,865,468,224,342,314,2240,54,5858
提升,2.693734409665614,2422,144,905,391,504,107,460,319,1637,91,4414
方式,2.9161268310020616,2076,145,622,428,438,106,268,348,1127,93,3430
讲解,8.650315340497693,39,146,15,10,3,0,13,5,5,1,52
以往,5.435871672276737,362,147,43,32,54,47,40,42,109,48,415
关心,6.755808469345007,145,148,17,11,19,15,11,14,64,11,162
感,7.765792557917631,72,149,25,3,19,6,2,18,15,7,95
发挥,4.211203706239993,846,150,243,120,126,72,236,25,342,34,1198
打下,8.321007715244734,49,151,4,3,11,3,9,2,21,1,54
意义,4.969933274697856,500,152,72,57,77,41,90,49,177,41,604
融合,5.745893000479925,292,153,81,53,25,5,20,106,149,4,443
指标,3.509452804657845,1376,154,139,203,127,410,197,60,340,705,2181
辖区,7.6319368111828405,79,155,4,17,20,2,14,1,68,2,128
改进,6.958437635860027,126,156,37,17,15,7,18,18,33,0,145
多项,5.750842216451659,291,157,42,35,31,22,16,20,152,11,329
可操作性,10.350755058638786,12,158,3,2,2,0,3,1,3,0,14
分类管理,10.61378946447258,10,159,1,6,3,0,1,0,1,0,12
投保,6.396558748251911,186,160,418,4,37,2,16,1,42,3,523
进一步,1.8950853587976884,4213,161,655,603,400,1251,657,262,1651,1786,7265
调查结果,8.053074509998101,59,162,2,2,7,19,5,6,19,12,72
介绍,4.243974040188668,827,163,187,126,183,32,181,150,272,14,1145
公司,0.995771106901256,7858,164,5383,1600,5496,440,1637,2625,21255,515,38951
导向,6.065352839776538,234,165,85,51,34,7,29,13,67,5,291
概率,4.459984128393545,712,166,43,42,150,214,147,15,177,226,1014
样本,7.745893000479926,73,167,15,10,32,0,18,12,15,1,103
作用,3.499006017222729,1386,168,255,171,180,188,317,73,565,159,1908
覆盖范围,9.07773656423237,29,169,5,4,6,1,5,4,7,0,32
张贴,12.350755058638786,3,170,0,1,1,0,0,1,0,0,3
资本,2.752702558477187,2325,171,586,1161,665,363,284,381,2947,119,6506
过程,3.533771435383406,1353,172,333,176,281,83,198,164,519,67,1821
募集,4.549855158718482,669,173,97,205,787,2,27,24,591,0,1733
存单,7.6319368111828405,79,174,5,129,50,6,2,0,7,3,202
降至,4.798726447279713,563,175,61,56,65,110,68,18,185,123,686
类产品,6.053074509998101,236,176,84,35,195,0,9,15,37,0,375
确实,4.809013086516752,559,177,45,64,83,82,53,102,134,91,654
应为,9.028826963751424,30,178,8,0,1,3,3,3,17,0,35
债,5.0109050557541615,486,179,57,1882,375,41,43,3,118,14,2533
理财,4.9728215540226826,499,180,147,851,683,13,24,24,216,26,1984
借用,9.543400136581182,21,181,3,11,2,4,1,4,5,0,30
审批,5.468112009276945,354,182,72,114,70,7,33,37,181,2,516
包括,2.116336768495343,3614,183,618,440,530,454,349,483,2019,465,5358
末,5.118733936104562,451,184,139,103,290,12,9,9,171,34,767
跑,5.447877525536891,359,185,47,20,164,16,26,38,218,29,558
剧烈,5.92449030393669,258,186,8,9,44,68,35,4,72,54,294
偏爱,8.235277841218851,52,187,7,7,25,14,2,0,13,14,82
Wind,5.194250572958796,428,188,9,97,312,4,41,3,173,1,640
合同,4.961302969554415,503,189,199,68,331,13,113,74,463,25,1286
比重,5.350755058638787,384,190,144,67,41,43,51,14,179,27,566
加,5.907811562790059,261,191,17,36,32,70,38,36,89,51,369
类,3.5063108178459625,1379,192,562,355,1179,48,120,121,629,39,3053
沪,4.144554670804925,886,193,52,45,440,31,256,5,977,8,1814
等级,7.07773656423237,116,194,18,50,52,4,19,9,16,6,174
杠杆,4.671274959133341,615,195,44,276,227,93,76,2,415,37,1170
可转债,7.040899796051999,119,196,2,368,185,0,1,0,85,0,641
能力,2.9009185967826747,2098,197,724,374,597,138,306,309,1141,64,3653
现有,4.197625299739452,854,198,132,49,72,37,71,61,568,41,1031
包含,5.5869894051288655,326,199,48,31,63,32,32,59,86,13,364
旺盛,7.365861951028996,95,200,12,6,16,5,38,5,22,5,109
收益率,3.431891821364192,1452,201,309,645,1109,777,123,7,482,768,4220
低于,3.2837689486364963,1609,202,201,239,266,249,189,90,717,833,2784
改造,6.443864463030269,180,203,25,47,51,0,48,26,81,1,279
显示,1.3720445995324293,6054,204,1334,822,1415,1220,775,932,3393,2258,12149
货币,3.1950935148705293,1711,205,50,246,510,1892,117,15,265,1058,4153
股票,2.9456135955024427,2034,206,313,213,1555,130,136,114,2606,229,5296
权证,10.476285940722645,11,207,0,0,4,0,3,0,15,0,22
尝试,5.650315340497695,312,208,41,23,36,35,52,89,73,43,392
以纯,12.935717559359944,2,209,1,0,1,0,0,0,0,0,2
股市行情,9.128362637302338,28,210,3,1,15,0,2,0,8,0,29
组合,4.5220896303357705,682,211,117,34,532,55,67,72,199,186,1262
旧壳,13.935717559359944,1,212,0,0,1,0,0,0,0,0,1
钱,5.23181398591528,417,213,53,58,120,45,66,118,187,65,712
布局,4.002026904407709,978,214,270,76,485,25,86,225,626,19,1812
占,1.9983437391677938,3922,215,1392,637,978,245,530,364,3743,167,8056
固收,6.476285940722645,176,216,18,96,159,9,7,0,20,1,310
长则,13.935717559359944,1,217,0,0,1,0,0,0,0,0,1
做股票,10.235277841218851,13,218,1,5,3,0,5,0,4,0,18
炙手可热,9.61378946447258,20,219,1,4,4,3,0,2,6,2,22
中期,3.6296558699316015,1266,220,62,83,71,591,184,25,791,699,2506
短则,13.935717559359944,1,221,0,0,1,0,0,0,0,0,1
模式,3.5650301525527253,1324,222,628,296,248,48,289,410,577,156,2652
型基金,5.65494678922934,311,223,14,20,833,0,5,0,15,3,890
节奏,5.673622713989763,307,224,36,47,41,39,65,20,98,37,383
期限,4.326538821217963,781,225,186,350,220,76,53,29,369,34,1317
赶不上,11.12836263730234,7,226,1,1,2,0,1,2,0,0,7
认定,6.134817659439638,223,227,42,71,19,29,11,33,149,5,359
此消彼长,9.848254718109605,17,228,1,0,8,3,1,0,3,1,17
半年,5.6003272046660175,323,229,28,43,70,19,25,30,146,43,404
银行,2.7009001282426186,2410,230,795,6409,1146,977,146,109,1496,584,11662
输同,13.935717559359944,1,231,0,0,1,0,0,0,0,0,1
变化,3.232679170373526,1667,232,290,186,336,324,383,126,531,237,2413
旗下,3.7670454412277126,1151,233,245,73,762,12,59,221,639,20,2031
李树超,8.543400136581182,42,234,0,3,47,0,1,0,0,0,51
风险,1.879418544809605,4259,235,2088,1463,1830,1470,898,162,2214,1513,11638
中型,7.016854322085348,121,236,26,14,77,1,11,1,30,2,162
运作,4.801291239139017,562,237,132,54,477,15,40,25,229,5,977
灵活,5.556339192288681,333,238,63,24,327,26,36,13,35,6,530
调整,2.741576320496807,2343,239,422,349,594,363,442,204,1429,303,4106
实际上,4.224911125660591,838,240,159,94,141,108,70,133,242,95,1042
希望,3.6342213643773937,1262,241,132,75,187,378,159,243,393,257,1824
投资收益,5.706898868864062,300,242,264,35,95,2,10,3,140,0,549
金融债,8.004980221797057,61,243,5,85,27,3,1,0,2,2,125
投资,1.7075001170665083,4798,244,3552,1283,6413,699,843,582,5298,826,19496
大类,7.350755058638786,96,245,21,9,65,2,6,2,15,2,122
票据,6.335804717172816,194,246,14,122,19,37,4,2,235,6,439
区别,6.697312820034864,151,247,39,18,34,14,19,22,38,2,186
有限,4.138056033506183,890,248,97,86,141,134,228,58,263,174,1181
资源,3.984432844392971,990,249,175,108,107,23,306,165,713,45,1642
成立,3.3293123466621575,1559,250,477,198,1243,23,89,259,791,28,3108
持债,10.76579255791763,9,251,0,9,1,1,2,0,0,0,13
比为,8.89132344000149,33,252,5,5,22,0,4,0,16,3,55
北京,2.770182417982019,2297,253,363,322,460,391,225,456,1145,526,3888
历次,9.128362637302338,28,254,3,2,3,1,6,0,14,1,30
完胜,11.350755058638786,6,255,0,0,5,0,0,0,0,1,6
近日,3.2404892678641923,1658,256,367,175,228,80,196,199,681,73,1999
大牛市,8.57816555474186,41,257,0,0,23,0,2,0,20,6,51
封闭,7.194250572958795,107,258,37,12,141,2,9,1,7,0,209
证券时报,4.636509540972664,630,259,113,117,179,15,119,22,377,3,945
委外,8.07773656423237,58,260,26,90,110,0,2,0,1,0,229
面临,2.917517380546717,2074,261,247,210,264,546,246,235,619,575,2942
不亏,11.350755058638786,6,262,1,0,5,0,0,2,0,0,8
空间,3.3090959070015717,1581,263,176,172,250,243,310,136,495,484,2266
非现金,8.806434542414976,35,264,1,5,9,1,0,1,23,1,41
一只,5.987350327775265,247,265,7,16,225,4,8,8,49,6,323
三季度,3.754565302494376,1161,266,463,319,866,82,151,101,1218,146,3346
支持,2.8103040888766277,2234,267,487,611,342,571,248,288,1472,408,4427
国债,4.584778377813512,653,268,33,724,79,469,470,0,143,356,2274
短债,8.154357845835284,55,269,1,76,451,1,1,0,1,0,531
错过,7.726264193730993,74,270,7,9,12,5,11,19,5,16,84
时,2.104410315557892,3644,271,604,381,778,751,479,714,1642,650,5999
很快,5.105994824273884,455,272,27,22,32,111,43,48,79,173,535
期货,3.5477002740148076,1340,273,98,215,83,271,4787,6,323,654,6437
权益,3.4072634485951534,1477,274,413,107,1079,6,40,57,1376,6,3084
透露,4.160930499758769,876,275,103,85,175,115,76,244,325,57,1180
快速,3.8442821730363357,1091,276,214,105,230,95,187,149,484,101,1565
股债,7.335804717172816,97,277,6,12,65,13,5,0,18,6,125
壳,7.913349746331488,65,278,0,0,30,1,1,10,112,0,154
市场部,7.650315340497695,78,279,16,3,60,2,2,8,17,0,108
建仓,7.154357845835283,110,280,5,3,117,1,7,0,51,5,189
短期,3.2335448739943953,1666,281,171,241,499,370,429,29,537,427,2703
存量,5.711715885161838,299,282,49,151,96,6,20,20,105,0,447
∶,11.12836263730234,7,283,3,0,5,0,0,1,6,0,15
需求,2.4969257067816817,2776,284,507,329,403,331,1602,286,867,1239,5564
不如人意,10.61378946447258,10,285,2,0,3,0,0,0,3,3,11
均衡,6.040899796051999,238,286,40,25,56,155,15,5,29,27,352
涵盖,5.765792557917631,288,287,55,11,48,25,11,20,143,8,321
资产,2.2404892678641923,3316,288,1455,1178,2663,691,337,166,2734,889,10113
熊债,13.935717559359944,1,289,0,0,1,0,0,0,0,0,1
追捧,6.284665868181015,201,290,4,7,55,10,7,4,107,32,226
波动,3.0273249385861924,1922,291,182,111,481,800,508,19,636,656,3393
配置,3.7733262306030375,1146,292,458,291,1863,73,109,66,338,117,3315
期等,11.12836263730234,7,293,3,0,2,0,0,0,2,0,7
倾斜,7.427922919161246,91,294,13,29,10,1,15,10,23,6,107
二季度,4.861576096607437,539,295,276,54,298,66,51,86,289,90,1210
少,5.115538596944756,452,296,82,73,51,34,112,37,111,31,531
告诉,4.230085171998528,835,297,101,187,183,113,146,204,323,73,1330
上以,9.235277841218851,26,298,4,1,7,3,3,2,3,3,26
持有,2.810950023537469,2233,299,464,248,733,234,110,113,1982,422,4306
银行存款,7.154357845835283,110,300,48,29,32,12,2,1,29,1,154
有失,10.128362637302338,14,301,2,0,3,3,2,2,2,2,16
基金净值,6.947032872587777,127,302,0,1,219,0,0,0,0,1,221
公募,4.524206571347872,681,303,54,270,2231,0,19,0,155,1,2730
敏感,6.306360939280333,198,304,14,14,7,53,9,20,73,52,242
赚,6.40433609884363,185,305,28,14,61,7,64,31,63,13,281
亿元,1.950587185893044,4054,306,4588,3162,2627,233,528,1064,10160,41,22403
风格,5.79105931652806,283,307,28,5,333,7,13,15,70,1,472
资金,2.200161535448408,3410,308,789,1376,1615,457,456,301,3975,363,9332
青睐,5.427922919161246,364,309,29,40,95,37,14,17,123,82,437
客户,3.4640423449678983,1420,310,830,607,570,120,436,205,926,91,3785
考验,5.745893000479925,292,311,33,16,36,43,16,20,48,115,327
回升,4.226633746809599,837,312,51,65,59,202,255,20,242,339,1233
债券,3.3479400430317328,1539,313,234,2745,1537,467,77,19,904,321,6304
行情,3.5936428913608047,1298,314,30,47,419,171,673,5,701,384,2430
开放式,7.090227508415568,115,315,3,42,156,2,1,1,12,2,219
做,2.9961383450452495,1964,316,278,254,474,375,475,438,818,410,3522
差时,13.935717559359944,1,317,0,0,1,0,0,0,0,0,1
数据,1.5773410790317037,5251,318,1378,824,1423,1924,1040,1050,2407,2840,12886
难以,4.486568913984506,699,319,95,47,99,89,133,94,179,114,850
市值,3.4338803744576465,1450,320,83,42,343,17,24,225,1891,20,2645
产品,2.3205477455163397,3137,321,2214,963,3121,220,668,977,2502,142,10807
违反,5.556339192288681,333,322,54,66,21,67,29,46,187,36,506
股,1.7939297176889393,4519,323,826,852,1682,226,579,246,8382,280,13073
证券,2.7117158851618375,2392,324,338,509,1185,244,236,77,3354,186,6129
类型,4.978615517797657,497,325,91,81,262,7,59,41,130,8,679
市场行情,6.492774063511215,174,326,11,5,80,23,34,0,40,14,207
这是,3.4773109461234104,1407,327,168,114,117,305,136,179,388,350,1757
低,2.991005498316457,1971,328,337,273,501,248,301,135,659,415,2869
偏好,4.814184042019911,557,329,65,110,216,99,33,7,148,93,771
以短债,13.935717559359944,1,330,0,0,3,0,0,0,0,0,3
至少,4.464042344967899,710,331,35,68,85,192,65,80,183,158,866
百分点,4.332091214373751,778,332,549,486,145,135,187,20,610,36,2168
增加,2.0870946189306046,3688,333,575,505,470,695,1229,217,2046,1341,7078
增至,5.5869894051288655,326,334,76,26,60,22,23,22,192,26,447
操作,4.22147204169382,840,335,93,165,184,124,243,67,273,118,1267
一位,3.8669392813745302,1074,336,158,227,322,117,82,221,391,105,1623
业绩,2.8716484789744334,2141,337,322,214,1608,36,159,179,3131,26,5675
相关,2.0902275084155675,3680,338,924,667,845,297,653,600,2836,216,7038
管理,2.250092719633588,3294,339,1733,857,2977,317,614,413,2076,280,9267
和择,13.935717559359944,1,340,0,0,1,0,0,0,0,0,1
利率,2.971376691567524,1998,341,199,929,281,1823,142,13,627,1384,5398
季度,4.4620118097405275,711,342,268,59,168,93,39,102,391,101,1221
公开,3.209499400027744,1694,343,293,294,239,114,93,242,1388,51,2714
经理,4.0576666466314055,941,344,69,119,1710,124,74,31,139,199,2465
流程,5.190883721860397,429,345,143,93,66,8,73,74,123,7,587
新,1.886549686987773,4238,346,1301,619,1479,523,717,1301,3782,588,10310
多家,4.027324938586192,961,347,196,175,241,33,57,119,398,20,1239
牛,7.396558748251912,93,348,2,9,22,5,10,13,76,8,145
资深,5.2422306018606175,414,349,36,33,64,78,21,42,126,89,489
说服,8.687790045916358,38,350,1,0,1,22,4,4,8,4,44
加征,5.958437635860027,252,351,0,3,4,236,106,0,42,190,581
亚,8.476285940722645,44,352,2,1,0,33,0,2,11,3,52
之间,3.335804717172815,1552,353,186,119,172,370,210,183,435,451,2126
任重道远,10.028826963751424,15,354,1,0,9,1,1,1,2,0,15
退欧,6.016854322085348,242,355,0,0,1,542,0,0,7,116,666
经济,1.7958464961474556,4513,356,1023,1305,999,3959,1000,414,3338,2846,14884
这一,2.9976082331407037,1962,357,277,125,217,543,163,204,483,732,2744
议会,7.128362637302338,112,358,0,1,3,133,1,4,11,43,196
澳元,5.697312820034864,302,359,0,1,0,666,16,0,12,183,878
寻求,4.941364122501085,510,360,44,20,19,129,32,53,147,148,592
脱欧,4.819373598122475,555,361,2,0,5,1525,9,0,59,560,2160
因素,2.6433959265579037,2508,362,239,281,359,593,602,78,865,1146,4163
首席,3.4219899634075057,1462,363,87,135,83,426,120,118,596,400,1965
糟糕,5.975715627291861,249,364,1,4,5,120,11,8,50,93,292
NAB,9.61378946447258,20,365,0,0,0,9,0,0,1,10,20
高,2.290059126951233,3204,366,669,535,891,397,731,333,1536,477,5569
中国,1.5300442270780767,5426,367,3057,816,1535,1856,1803,1393,5893,1357,17710
FXStreet,7.040899796051999,119,368,0,0,0,76,2,0,0,89,167
远,5.249217032176724,412,369,25,34,50,79,67,49,111,65,480
特蕾莎梅,8.726264193730993,37,370,0,0,0,25,0,0,1,13,39
流动性,3.7783706239971,1142,371,278,482,548,315,126,9,552,115,2425
征税,7.090227508415568,115,372,9,2,9,78,10,4,20,38,170
好于,6.214618370652758,211,373,6,5,13,48,22,2,41,123,260
Raab,9.028826963751424,30,374,0,0,0,25,0,0,0,6,31
减缓,7.509452804657845,86,375,4,6,5,16,19,5,19,18,92
集团,2.329312346662158,3118,376,1403,457,277,155,245,506,5867,136,9046
未,3.0996672043018734,1828,377,428,281,190,266,179,204,1086,243,2877
贸易,2.9505871858930437,2027,378,39,98,123,1742,676,40,624,1401,4743
进口,4.443864463030268,720,379,64,2,10,192,999,64,308,279,1918
损害,5.750842216451659,291,380,66,10,17,63,30,48,94,42,370
价值,3.1535383655287346,1761,381,648,168,915,108,156,181,1075,233,3484
纽元,7.427922919161246,91,382,0,0,0,143,2,0,2,19,166
总统,4.039385155450001,953,383,0,3,2,946,82,34,107,717,1891
民意调查,9.476285940722645,22,384,0,0,0,18,2,0,0,8,28
脱,7.668931018665042,77,385,1,0,0,60,2,0,3,31,97
关系,3.6759742956691612,1226,386,222,89,98,294,159,164,479,272,1777
美元汇率,5.61378946447258,320,387,1,12,7,441,14,0,49,51,575
警告,4.978615517797657,497,388,71,37,4,228,25,17,180,169,731
欧盟,4.425942555033006,729,389,2,17,3,1700,69,89,100,670,2650
一项,4.809013086516752,559,390,60,24,41,169,29,63,204,88,678
公开信,8.263292217388447,51,391,3,0,6,2,0,22,27,3,63
最佳,5.875021627672389,267,392,10,8,63,40,16,21,76,105,339
外汇,4.41215560330293,736,393,19,28,11,880,56,1,102,264,1361
Rodrigo,11.61378946447258,5,394,0,0,0,5,0,0,0,0,5
讨论,4.7044963786487575,601,395,43,32,29,271,42,68,166,159,810
避险,3.710510122416441,1197,396,4,21,99,416,114,0,94,1403,2151
布宜诺斯艾利斯,8.650315340497693,39,397,0,0,0,28,5,2,4,16,55
